foreign_value,english_value
de,of
que,that
no,no
a,to
y,and
ser,to be
en,in
por,for
qué,what
con,with
para,for
estar,to be
mi,my
pero,but
sí,yes
si,if
bien,well
ese,that
su,his/her
yo,I
como,like
aquí,here
tu,your
más,more
este,this
todo,all
ya,already
ahora,now
muy,very
haber,to have
así,like that
ir,to go
algo,something
bueno,good
tener,to have
él,he
cuando,when
saber,to know
tú,you (informal)
nos,us
nada,nothing
cómo,how
o,or
poder,to be able
ella,she
querer,to want
hacer,to do
gracia,thanks
vez,time
solo,only
porque,because
creer,to believe
usted,you (formal)
entonces,then
hola,hello
verdad,true
casa,home
tan,so
quién,who
tiempo,time
dos,two
nunca,never
dónde,where
favor,please
mucho,a lot
mí,me
sentir,to feel
señor,msiter
mejor,better
decir,to say
también,also
sobre,about
dios,god
sin,without
ver,to see
hombre,man
vida,life
alguien,someone
cosa,thing
siempre,always
hasta,until
ahí,there
año,year
antes,before
ni,neither
poco,a little
día,day
uno,one
noche,night
otro,another
acuerdo,agreement
trabajo,work
nosotros,we
parecer,to seem
gente,people
padre,father
mirar,to look
mismo,same
nadie,nobody
hablar,to speak
ellos,they
tal,such
pasar,to happen
después,after
desde,from
dinero,money
mundo,world
claro,of course
momento,moment
estado,state
mañana,tomorrow
madre,mother
valer,to be worth
lugar,place
donde,where
seguro,sure
esperar,to wait
nuevo,new
hijo,son
allí,there
menos,less
tipo,type
amigo,friend
gran,great
nuestro,our
mujer,woman
mamá,mom
luego,then
papá,dad
hoy,today
tres,three
necesitar,to need
oír,to hear
gustar,to like
parte,part
conmigo,with me
nombre,name
mal,bad
deber,should
realmente,really
aún,still
mío,mine
cada,each
importar,to matter
contigo,with you
razón,reason
alguno,some
tanto,so much
serio,serious
venir,to come
idea,idea
tarde,afternoon
problema,problem
hora,hour
cierto,surely
quien,who
demasiado,too much
amor,love
entre,between
familia,family
policía,police
chica,girl
chico,boy
cuenta,account
todavía,still
salir,to go out
algún,some
hermano,brother
pensar,to think
cabeza,head
cariño,darling
cualquier,any
forma,form
mientras,while
lado,side
caso,case
primero,first
genial,great
suponer,to suppose
pues,well
adiós,goodbye
persona,person
señora,mrs.
volver,to return
contra,against
camino,path
durante,during
manera,way
muerto,dead
rápido,fast
cuál,which
ayuda,help
historia,history
entender,to understand
dentro,inside
casi,almost
puerta,door
significar,to mean
semana,week
hacia,toward
quizás,maybe
junto,together
niño,kid
pronto,soon
tío,uncle
suerte,luck
ciudad,city
siquiera,not even
feliz,happy
hija,daughter
minuto,minute
cuánto,how much
os,you all
muerte,death
dejar,to let
realidad,reality
dar,to give
importante,important
corazón,heart
miedo,fear
jefe,boss
agua,water
justo,just
esposa,wife
mano,hand
ojo,eye
adelante,ahead
encontrar,to find
cinco,five
ninguno,none
cara,face
cuidado,care
bajo,under
cerca,near
viejo,old
bastante,enough
fin,end
tomar,to take
único,only
escuchar,to listen
ningún,none
suficiente,enough
punto,point
cuándo,when
seguir,to follow
equipo,team
grande,large
llegar,to arrive
incluso,even
doctor,doctor
difícil,difficult
aunque,although
coche,car
clase,class
cuatro,four
pequeño,small
llamar,to call
allá,over there
último,last
arriba,up
tierra,earth
guerra,war
igual,similar
loco,crazy
sangre,blood
vuelta,return
trabajar,to work
juego,game
cuerpo,body
entrar,to enter
oportunidad,opportunity
teléfono,phone
final,end
listo,ready
fiesta,party
auto,car
vivir,to live
posible,possible
hermana,sister
número,number
mes,month
exactamente,exactly
culpa,fault
abajo,down
escuela,school
fuerte,strong
ello,it
pregunta,question
atrás,back
malo,bad
capitán,captain
bebé,baby
segundo,second
mayor,older
comida,food
morir,to die
conocer,to meet
fácil,easy
comer,to eat
lista,list
probablemente,probably
habitación,room
tratar,to try
